difficulty,event_order,beat_idx,beat_time,onset_time,residual_ms,timing_source,subdivision,source_event_idx,onset_class,segment_idx,segment_focus,motif_id,motif_length_beats,motif_token_length,motif_repeat_count,motif_fingerprint,event_role,difficulty_inclusion
easy,16,386,144.004,143.979,-25.0,onset,downbeat,127,full-spectrum,12,full-spectrum,,,,,,easy,easy
easy,17,418,156.003,155.981,-22.0,onset,downbeat,133,full-spectrum,13,full-spectrum,,,,,,easy,easy
easy,18,450,168.002,167.979,-23.0,onset,downbeat,136,full-spectrum,13,full-spectrum,,,,,,easy,easy
easy,19,458,170.902,170.899,-3.0,onset,downbeat,139,full-spectrum,14,full-spectrum,,,,,,easy,easy
easy,20,474,176.91,176.901,-9.0,onset,downbeat,147,full-spectrum,14,full-spectrum,,,,,,easy,easy
easy,21,482,180.001,179.98,-21.0,onset,downbeat,155,full-spectrum,14,full-spectrum,,,,,,easy,easy
easy,22,514,192.0,191.986,-14.0,onset,downbeat,158,full-spectrum,15,full-spectrum,,,,,,easy,easy
medium,0,4,1.498,1.49,-8.0,onset,downbeat,7,percussive,0,percussive,,,,,,easy,easy
medium,1,6,2.247,2.242,-5.0,onset,downbeat,11,percussive,0,percussive,,,,,,easy,easy
medium,2,7,2.621,2.621,0.0,onset,downbeat,13,percussive,0,percussive,,,,,,medium,medium
medium,3,10,3.744,3.747,3.0,onset,downbeat,19,percussive,0,percussive,,,,,,medium,medium
medium,4,12,4.493,4.492,-1.0,onset,downbeat,23,percussive,0,percussive,,,,,,easy,easy
medium,5,16,6.008,5.984,-24.0,onset,downbeat,26,percussive,0,percussive,,,,,,easy,easy
medium,6,47,17.624,17.621,-3.0,onset,downbeat,31,full-spectrum,2,full-spectrum,,,,,,easy,easy
medium,7,80,30.006,29.979,-27.0,onset,downbeat,38,full-spectrum,3,full-spectrum,,,,,,easy,easy
medium,8,96,36.005,35.983,-22.0,onset,downbeat,42,full-spectrum,4,full-spectrum,,,,,,easy,easy
medium,9,128,47.813,47.807,-6.0,onset,downbeat,48,percussive,5,percussive,,,,,,easy,easy
medium,10,145,54.004,53.985,-19.0,onset,downbeat,55,full-spectrum,6,full-spectrum,,,,,,easy,easy
medium,11,177,66.003,65.991,-12.0,onset,downbeat,61,full-spectrum,7,full-spectrum,,,,,,easy,easy
medium,12,208,77.627,77.619,-8.0,onset,downbeat,66,full-spectrum,8,full-spectrum,,,,,,easy,easy
medium,13,225,84.001,83.986,-15.0,onset,downbeat,72,full-spectrum,9,full-spectrum,,,,,,easy,easy
medium,14,257,95.817,95.808,-9.0,onset,downbeat,78,percussive,10,percussive,,,,,,easy,easy
medium,15,274,102.008,101.982,-26.0,onset,downbeat,84,full-spectrum,11,full-spectrum,,,,,,easy,easy
medium,16,305,113.624,113.603,-21.0,onset,downbeat,103,full-spectrum,11,full-spectrum,,,,,,medium,medium
medium,17,306,113.998,113.987,-11.0,onset,downbeat,105,full-spectrum,11,full-spectrum,,,,,,easy,easy
medium,18,307,114.373,114.361,-12.0,onset,downbeat,106,full-spectrum,11,full-spectrum,,,,,,easy,easy
medium,19,308,114.747,114.737,-10.0,onset,downbeat,107,full-spectrum,11,full-spectrum,,,,,,medium,medium
medium,20,309,115.122,115.112,-10.0,onset,downbeat,108,full-spectrum,11,full-spectrum,,,,,,medium,medium
medium,21,310,115.496,115.483,-13.0,onset,downbeat,109,full-spectrum,11,full-spectrum,,,,,,easy,easy
medium,22,312,116.245,116.236,-9.0,onset,downbeat,111,full-spectrum,11,full-spectrum,,,,,,easy,easy
medium,23,313,116.619,116.611,-8.0,onset,downbeat,112,full-spectrum,11,full-spectrum,,,,,,easy,easy
medium,24,386,144.004,143.979,-25.0,onset,downbeat,127,full-spectrum,12,full-spectrum,,,,,,easy,easy
medium,25,416,155.254,155.237,-17.0,onset,downbeat,128,full-spectrum,13,full-spectrum,,,,,,medium,medium
medium,26,418,156.003,155.981,-22.0,onset,downbeat,133,full-spectrum,13,full-spectrum,,,,,,easy,easy
medium,27,449,167.619,167.615,-4.0,onset,downbeat,135,full-spectrum,13,full-spectrum,,,,,,medium,medium
medium,28,450,168.002,167.979,-23.0,onset,downbeat,136,full-spectrum,13,full-spectrum,,,,,,easy,easy
medium,29,456,170.153,170.151,-2.0,onset,downbeat,137,full-spectrum,14,full-spectrum,,,,,,medium,medium
medium,30,458,170.902,170.899,-3.0,onset,downbeat,139,full-spectrum,14,full-spectrum,,,,,,easy,easy
medium,31,473,176.536,176.524,-12.0,onset,downbeat,146,full-spectrum,14,full-spectrum,,,,,,medium,medium
medium,32,474,176.91,176.901,-9.0,onset,downbeat,147,full-spectrum,14,full-spectrum,,,,,,easy,easy
medium,33,482,180.001,179.98,-21.0,onset,downbeat,155,full-spectrum,14,full-spectrum,,,,,,easy,easy
medium,34,514,192.0,191.986,-14.0,onset,downbeat,158,full-spectrum,15,full-spectrum,,,,,,easy,easy
