candidate,event_idx,event_time,beat_idx,grid_time,subdivision,residual_ms,abs_residual_ms,flux,intensity,intensity_confidence,pass_count
current_quarter_snap,248,57.458,125,57.469,downbeat,-11.0,11.0,41.1821,medium,0.66,2
current_quarter_snap,251,58.461,127,58.392,downbeat,69.0,69.0,41.7343,medium,0.66,1
current_quarter_snap,255,58.839,128,58.845,downbeat,-6.0,6.0,30.6731,low,0.33,1
current_quarter_snap,258,59.307,129,59.315,downbeat,-8.0,8.0,49.3986,medium,0.66,1
current_quarter_snap,260,59.771,130,59.777,downbeat,-6.0,6.0,50.2834,medium,0.66,1
current_quarter_snap,262,60.233,131,60.238,downbeat,-5.0,5.0,51.7106,medium,0.66,1
current_quarter_snap,264,60.683,132,60.691,downbeat,-8.0,8.0,112.1291,high,1.0,2
current_quarter_snap,266,61.156,133,61.161,downbeat,-5.0,5.0,213.6535,high,1.0,4
current_quarter_snap,271,61.603,134,61.614,downbeat,-11.0,11.0,95.6092,high,1.0,2
current_quarter_snap,274,62.531,136,62.537,downbeat,-6.0,6.0,8.407,low,0.33,1
current_quarter_snap,276,62.995,137,63.007,downbeat,-12.0,12.0,55.4112,medium,0.66,1
current_quarter_snap,280,63.925,139,63.93,downbeat,-5.0,5.0,221.7622,high,1.0,3
current_quarter_snap,285,64.374,140,64.383,downbeat,-9.0,9.0,138.8039,high,1.0,2
current_quarter_snap,288,64.832,141,64.853,downbeat,-21.0,21.0,50.7718,medium,0.66,2
current_quarter_snap,294,65.3,142,65.306,downbeat,-6.0,6.0,83.0506,medium,0.66,1
current_quarter_snap,297,65.767,143,65.776,downbeat,-9.0,9.0,45.8608,medium,0.66,1
current_quarter_snap,300,66.694,145,66.699,downbeat,-5.0,5.0,224.1776,high,1.0,4
current_quarter_snap,305,67.143,146,67.152,downbeat,-9.0,9.0,88.197,medium,0.66,2
current_quarter_snap,310,68.536,149,68.545,downbeat,-9.0,9.0,40.1334,medium,0.66,1
current_quarter_snap,313,69.463,151,69.468,downbeat,-5.0,5.0,263.0203,high,1.0,4
current_quarter_snap,318,69.913,152,69.921,downbeat,-8.0,8.0,82.7593,medium,0.66,2
current_quarter_snap,319,70.385,153,70.391,downbeat,-6.0,6.0,50.1398,medium,0.66,1
current_quarter_snap,322,70.841,154,70.844,downbeat,-3.0,3.0,80.9818,medium,0.66,1
current_quarter_snap,324,71.305,155,71.314,downbeat,-9.0,9.0,44.3857,medium,0.66,1
current_quarter_snap,328,72.231,157,72.237,downbeat,-6.0,6.0,71.2852,medium,0.66,1
current_quarter_snap,331,74.077,161,74.083,downbeat,-6.0,6.0,33.2193,medium,0.66,1
current_quarter_snap,333,74.983,163,75.006,downbeat,-23.0,23.0,12.2804,low,0.33,1
current_quarter_snap,337,75.454,164,75.468,downbeat,-14.0,14.0,47.7736,medium,0.66,1
current_quarter_snap,338,75.922,165,75.929,downbeat,-7.0,7.0,25.8822,low,0.33,1
current_quarter_snap,340,76.434,166,76.382,downbeat,52.0,52.0,3.1094,low,0.33,1
current_quarter_snap,343,76.841,167,76.852,downbeat,-11.0,11.0,53.444,medium,0.66,1
current_quarter_snap,346,77.77,169,77.775,downbeat,-5.0,5.0,63.6627,medium,0.66,2
current_quarter_snap,349,78.227,170,78.237,downbeat,-10.0,10.0,90.0261,medium,0.66,2
current_quarter_snap,350,78.692,171,78.698,downbeat,-6.0,6.0,55.2086,medium,0.66,1
current_quarter_snap,355,79.612,173,79.621,downbeat,-9.0,9.0,49.4604,medium,0.66,1
current_quarter_snap,357,80.475,175,80.544,downbeat,-69.0,69.0,9.9612,low,0.33,1
current_quarter_snap,360,80.994,176,81.006,downbeat,-12.0,12.0,38.6694,medium,0.66,1
current_quarter_snap,366,82.384,179,82.39,downbeat,-6.0,6.0,44.7347,medium,0.66,1
current_quarter_snap,369,82.84,180,82.843,downbeat,-3.0,3.0,22.9209,low,0.33,1
current_quarter_snap,372,83.769,182,83.775,downbeat,-6.0,6.0,26.1187,low,0.33,1
current_quarter_snap,373,84.233,183,84.236,downbeat,-3.0,3.0,22.1548,low,0.33,2
current_quarter_snap,376,85.153,185,85.159,downbeat,-6.0,6.0,35.2337,medium,0.66,1
current_quarter_snap,382,87.002,189,87.005,downbeat,-3.0,3.0,28.08,low,0.33,1
current_quarter_snap,385,87.921,191,87.928,downbeat,-7.0,7.0,94.9566,high,1.0,2
current_quarter_snap,387,88.378,192,88.381,downbeat,-3.0,3.0,17.1957,low,0.33,1
current_quarter_snap,391,89.304,194,89.313,downbeat,-9.0,9.0,51.6013,medium,0.66,1
current_quarter_snap,392,89.77,195,89.774,downbeat,-4.0,4.0,139.2068,high,1.0,4
current_quarter_snap,395,90.684,197,90.697,downbeat,-13.0,13.0,59.4838,medium,0.66,2
current_quarter_snap,398,91.617,199,91.62,downbeat,-3.0,3.0,43.3372,medium,0.66,1
current_quarter_snap,402,92.067,200,92.082,downbeat,-15.0,15.0,30.3882,low,0.33,1
current_quarter_snap,404,92.54,201,92.543,downbeat,-3.0,3.0,31.1609,low,0.33,1
current_quarter_snap,407,93.458,203,93.466,downbeat,-8.0,8.0,49.6269,medium,0.66,1
current_quarter_snap,411,93.916,204,93.919,downbeat,-3.0,3.0,17.3172,low,0.33,1
current_quarter_snap,413,94.83,206,94.851,downbeat,-21.0,21.0,603.8357,high,1.0,5
current_quarter_snap,417,96.214,209,96.235,downbeat,-21.0,21.0,734.7596,high,1.0,5
current_quarter_snap,420,97.161,211,97.158,downbeat,3.0,3.0,10.3203,low,0.33,1
current_quarter_snap,421,97.598,212,97.62,downbeat,-22.0,22.0,744.1083,high,1.0,5
current_quarter_snap,423,98.98,215,99.004,downbeat,-24.0,24.0,990.7361,high,1.0,5
current_quarter_snap,426,99.924,217,99.927,downbeat,-3.0,3.0,272.0118,high,1.0,4
current_quarter_snap,431,100.369,218,100.389,downbeat,-20.0,20.0,374.3391,high,1.0,4
current_quarter_snap,432,100.778,219,100.85,downbeat,-72.0,72.0,3.2671,low,0.33,1
current_quarter_snap,437,101.3,220,101.303,downbeat,-3.0,3.0,20.4272,low,0.33,1
current_quarter_snap,440,101.754,221,101.773,downbeat,-19.0,19.0,220.7637,high,1.0,4
current_quarter_snap,442,102.221,222,102.226,downbeat,-5.0,5.0,57.2849,medium,0.66,1
current_quarter_snap,445,102.694,223,102.696,downbeat,-2.0,2.0,166.2889,high,1.0,5
current_quarter_snap,449,103.135,224,103.158,downbeat,-23.0,23.0,234.5413,high,1.0,2
current_quarter_snap,452,103.546,225,103.619,downbeat,-73.0,73.0,2.6184,low,0.33,1
current_quarter_snap,457,104.066,226,104.072,downbeat,-6.0,6.0,120.2958,high,1.0,2
current_quarter_snap,461,104.529,227,104.542,downbeat,-13.0,13.0,343.0436,high,1.0,4
current_quarter_snap,465,104.991,228,104.995,downbeat,-4.0,4.0,61.2308,medium,0.66,2
current_quarter_snap,469,105.907,230,105.927,downbeat,-20.0,20.0,655.3712,high,1.0,5
current_quarter_snap,472,107.291,233,107.311,downbeat,-20.0,20.0,742.2932,high,1.0,5
current_quarter_snap,476,108.674,236,108.696,downbeat,-22.0,22.0,689.7234,high,1.0,5
current_quarter_snap,479,110.056,239,110.08,downbeat,-24.0,24.0,915.0032,high,1.0,5
current_quarter_snap,482,111.002,241,111.003,downbeat,-1.0,1.0,270.4478,high,1.0,5
current_quarter_snap,487,111.447,242,111.464,downbeat,-17.0,17.0,366.8839,high,1.0,4
current_quarter_snap,490,111.923,243,111.926,downbeat,-3.0,3.0,201.3067,high,1.0,5
current_quarter_snap,494,112.379,244,112.379,downbeat,0.0,0.0,56.9583,medium,0.66,1
current_quarter_snap,497,112.828,245,112.849,downbeat,-21.0,21.0,226.1279,high,1.0,2
current_quarter_snap,501,113.299,246,113.302,downbeat,-3.0,3.0,48.6902,medium,0.66,1
current_quarter_snap,504,113.772,247,113.772,downbeat,0.0,0.0,196.2783,high,1.0,5
current_quarter_snap,508,114.216,248,114.233,downbeat,-17.0,17.0,272.0842,high,1.0,4
current_quarter_snap,509,114.695,249,114.695,downbeat,0.0,0.0,69.7041,medium,0.66,5
current_quarter_snap,514,115.142,250,115.148,downbeat,-6.0,6.0,124.0449,high,1.0,2
current_quarter_snap,517,115.604,251,115.618,downbeat,-14.0,14.0,110.1992,high,1.0,2
current_quarter_snap,520,116.069,252,116.071,downbeat,-2.0,2.0,69.0195,medium,0.66,2
current_quarter_snap,525,116.995,254,117.002,downbeat,-7.0,7.0,89.9143,medium,0.66,2
current_quarter_snap,529,117.917,256,117.917,downbeat,0.0,0.0,64.6535,medium,0.66,2
current_quarter_snap,532,118.381,257,118.387,downbeat,-6.0,6.0,61.7505,medium,0.66,1
current_quarter_snap,535,118.84,258,118.848,downbeat,-8.0,8.0,26.1707,low,0.33,1
current_quarter_snap,537,119.31,259,119.31,downbeat,0.0,0.0,24.5443,low,0.33,1
current_quarter_snap,541,119.769,260,119.771,downbeat,-2.0,2.0,45.6121,medium,0.66,1
current_quarter_snap,543,120.233,261,120.233,downbeat,0.0,0.0,33.6524,medium,0.66,1
current_quarter_snap,546,120.674,262,120.686,downbeat,-12.0,12.0,23.7965,low,0.33,1
current_quarter_snap,548,121.147,263,121.156,downbeat,-9.0,9.0,58.6124,medium,0.66,1
current_quarter_snap,551,122.079,265,122.079,downbeat,0.0,0.0,75.1605,medium,0.66,5
current_quarter_snap,555,122.517,266,122.54,downbeat,-23.0,23.0,178.086,high,1.0,2
current_quarter_snap,557,122.994,267,123.002,downbeat,-8.0,8.0,203.5825,high,1.0,5
current_quarter_snap,561,123.453,268,123.455,downbeat,-2.0,2.0,236.0667,high,1.0,4
current_quarter_snap,564,123.909,269,123.925,downbeat,-16.0,16.0,259.9162,high,1.0,4
current_quarter_snap,567,124.376,270,124.386,downbeat,-10.0,10.0,110.1372,high,1.0,2
current_quarter_snap,570,124.846,271,124.848,downbeat,-2.0,2.0,196.8938,high,1.0,5
current_quarter_snap,574,125.294,272,125.309,downbeat,-15.0,15.0,295.6172,high,1.0,5
current_quarter_snap,576,125.769,273,125.771,downbeat,-2.0,2.0,293.201,high,1.0,5
current_quarter_snap,581,126.222,274,126.224,downbeat,-2.0,2.0,315.364,high,1.0,4
current_quarter_snap,583,126.677,275,126.694,downbeat,-17.0,17.0,158.9544,high,1.0,4
current_quarter_snap,588,128.072,278,128.087,downbeat,-15.0,15.0,43.5969,medium,0.66,1
current_quarter_snap,591,129.457,281,129.463,downbeat,-6.0,6.0,64.3168,medium,0.66,1
current_quarter_snap,594,130.371,283,130.386,downbeat,-15.0,15.0,24.9192,low,0.33,1
current_quarter_snap,597,130.84,284,130.847,downbeat,-7.0,7.0,56.3871,medium,0.66,1
current_quarter_snap,598,131.306,285,131.309,downbeat,-3.0,3.0,41.0436,medium,0.66,1
current_quarter_snap,601,131.762,286,131.77,downbeat,-8.0,8.0,18.5978,low,0.33,1
current_quarter_snap,603,132.226,287,132.232,downbeat,-6.0,6.0,49.311,medium,0.66,1
current_quarter_snap,607,133.15,289,133.155,downbeat,-5.0,5.0,90.8878,medium,0.66,5
current_quarter_snap,611,133.594,290,133.616,downbeat,-22.0,22.0,186.6927,high,1.0,2
current_quarter_snap,613,134.075,291,134.078,downbeat,-3.0,3.0,219.9194,high,1.0,4
current_quarter_snap,618,134.528,292,134.539,downbeat,-11.0,11.0,118.6317,high,1.0,2
current_quarter_snap,621,134.986,293,135.001,downbeat,-15.0,15.0,282.4434,high,1.0,4
current_quarter_snap,623,135.385,294,135.462,triplet,-77.0,77.0,37.462,medium,0.66,1
current_quarter_snap,627,135.865,295,135.933,downbeat,-68.0,68.0,14.7962,low,0.33,1
current_quarter_snap,632,136.38,296,136.385,downbeat,-5.0,5.0,29.0902,low,0.33,1
current_quarter_snap,636,137.308,298,137.317,downbeat,-9.0,9.0,59.8332,medium,0.66,1
current_quarter_snap,638,137.77,299,137.779,downbeat,-9.0,9.0,56.6821,medium,0.66,1
current_quarter_snap,640,138.22,300,138.231,downbeat,-11.0,11.0,85.5954,medium,0.66,1
current_quarter_snap,644,139.145,302,139.154,downbeat,-9.0,9.0,253.6824,high,1.0,5
current_quarter_snap,646,140.083,304,140.086,downbeat,-3.0,3.0,13.0428,low,0.33,1
current_quarter_snap,647,140.534,305,140.547,downbeat,-13.0,13.0,292.1329,high,1.0,4
current_quarter_snap,648,140.971,306,141.009,downbeat,-38.0,38.0,1.6229,low,0.33,1
current_quarter_snap,651,141.916,308,141.932,downbeat,-16.0,16.0,389.7251,high,1.0,5
current_quarter_snap,653,142.393,309,142.402,downbeat,-9.0,9.0,5.7157,low,0.33,1
current_quarter_snap,655,143.302,311,143.316,downbeat,-14.0,14.0,53.3259,medium,0.66,1
current_quarter_snap,658,144.683,314,144.701,downbeat,-18.0,18.0,271.8452,high,1.0,5
current_quarter_snap,660,146.072,317,146.085,downbeat,-13.0,13.0,95.405,high,1.0,2
current_quarter_snap,664,147.454,320,147.47,downbeat,-16.0,16.0,123.43,high,1.0,5
current_quarter_snap,666,148.842,323,148.854,downbeat,-12.0,12.0,46.1759,medium,0.66,2
current_quarter_snap,669,149.762,325,149.777,downbeat,-15.0,15.0,572.6783,high,1.0,5
current_quarter_snap,674,150.221,326,150.23,downbeat,-9.0,9.0,238.3181,high,1.0,5
current_quarter_snap,676,150.694,327,150.7,downbeat,-6.0,6.0,277.3022,high,1.0,5
current_quarter_snap,679,151.147,328,151.153,downbeat,-6.0,6.0,88.6442,medium,0.66,1
current_quarter_snap,681,151.611,329,151.615,downbeat,-4.0,4.0,322.7656,high,1.0,4
current_quarter_snap,684,152.07,330,152.076,downbeat,-6.0,6.0,50.6922,medium,0.66,1
current_quarter_snap,688,152.541,331,152.546,downbeat,-5.0,5.0,258.4216,high,1.0,5
current_quarter_snap,693,152.989,332,152.999,downbeat,-10.0,10.0,406.9858,high,1.0,5
current_quarter_snap,695,153.464,333,153.469,downbeat,-5.0,5.0,127.0893,high,1.0,4
current_quarter_snap,699,154.378,335,154.392,downbeat,-14.0,14.0,57.4826,medium,0.66,1
current_quarter_snap,703,155.302,337,155.315,downbeat,-13.0,13.0,588.0164,high,1.0,5
current_quarter_snap,708,155.759,338,155.768,downbeat,-9.0,9.0,240.486,high,1.0,5
current_quarter_snap,710,156.233,339,156.238,downbeat,-5.0,5.0,266.6356,high,1.0,5
current_quarter_snap,714,156.685,340,156.691,downbeat,-6.0,6.0,80.4063,medium,0.66,1
current_quarter_snap,716,157.149,341,157.153,downbeat,-4.0,4.0,117.1622,high,1.0,2
current_quarter_snap,720,157.606,342,157.614,downbeat,-8.0,8.0,56.0195,medium,0.66,2
current_quarter_snap,723,158.075,343,158.084,downbeat,-9.0,9.0,112.8944,high,1.0,2
current_quarter_snap,728,158.53,344,158.537,downbeat,-7.0,7.0,86.1426,medium,0.66,3
current_quarter_snap,730,158.994,345,159.007,downbeat,-13.0,13.0,501.4377,high,1.0,5
current_quarter_snap,732,159.458,346,159.469,downbeat,-11.0,11.0,477.3552,high,1.0,5
current_quarter_snap,735,159.919,347,159.93,downbeat,-11.0,11.0,372.3881,high,1.0,5
current_quarter_snap,738,160.345,348,160.383,downbeat,-38.0,38.0,32.7545,low,0.33,5
current_quarter_snap,742,160.781,349,160.853,downbeat,-72.0,72.0,11.894,low,0.33,1
current_quarter_snap,748,161.289,350,161.306,downbeat,-17.0,17.0,887.3199,high,1.0,5
current_quarter_snap,749,161.771,351,161.776,downbeat,-5.0,5.0,261.7742,high,1.0,5
current_quarter_snap,752,162.223,352,162.229,downbeat,-6.0,6.0,23.805,low,0.33,1
current_quarter_snap,753,162.688,353,162.699,downbeat,-11.0,11.0,49.8699,medium,0.66,1
current_quarter_snap,756,163.618,355,163.622,downbeat,-4.0,4.0,266.2511,high,1.0,5
current_quarter_snap,761,164.058,356,164.075,downbeat,-17.0,17.0,840.8679,high,1.0,5
current_quarter_snap,762,164.54,357,164.545,downbeat,-5.0,5.0,173.366,high,1.0,5
current_quarter_snap,765,165.459,359,165.468,downbeat,-9.0,9.0,42.3765,medium,0.66,1
current_quarter_snap,768,166.385,361,166.391,downbeat,-6.0,6.0,56.4772,medium,0.66,1
current_quarter_snap,773,166.827,362,166.844,downbeat,-17.0,17.0,866.8561,high,1.0,5
current_quarter_snap,775,167.308,363,167.314,downbeat,-6.0,6.0,241.9947,high,1.0,3
current_quarter_snap,778,167.761,364,167.767,downbeat,-6.0,6.0,26.0396,low,0.33,1
current_quarter_snap,779,168.228,365,168.237,downbeat,-9.0,9.0,40.8452,medium,0.66,1
current_quarter_snap,782,169.154,367,169.16,downbeat,-6.0,6.0,271.5406,high,1.0,4
current_quarter_snap,787,169.597,368,169.613,downbeat,-16.0,16.0,821.6982,high,1.0,5
current_quarter_snap,788,170.077,369,170.083,downbeat,-6.0,6.0,183.3544,high,1.0,4
current_quarter_snap,793,170.533,370,170.536,downbeat,-3.0,3.0,58.5802,medium,0.66,1
current_quarter_snap,796,170.998,371,171.006,downbeat,-8.0,8.0,41.8217,medium,0.66,1
current_quarter_snap,802,171.923,373,171.929,downbeat,-6.0,6.0,168.4162,high,1.0,3
current_quarter_snap,807,172.366,374,172.382,downbeat,-16.0,16.0,912.7305,high,1.0,5
current_quarter_snap,808,172.849,375,172.852,downbeat,-3.0,3.0,70.2274,medium,0.66,1
current_quarter_snap,811,173.302,376,173.305,downbeat,-3.0,3.0,16.0675,low,0.33,2
current_quarter_snap,813,173.767,377,173.775,downbeat,-8.0,8.0,39.2258,medium,0.66,1
current_quarter_snap,820,175.135,380,175.151,downbeat,-16.0,16.0,793.576,high,1.0,5
current_quarter_snap,821,175.546,381,175.621,downbeat,-75.0,75.0,4.6447,low,0.33,1
current_quarter_snap,824,176.06,382,176.074,downbeat,-14.0,14.0,60.5702,medium,0.66,2
current_quarter_snap,826,176.536,383,176.544,downbeat,-8.0,8.0,41.9835,medium,0.66,1
current_quarter_snap,830,177.464,385,177.467,downbeat,-3.0,3.0,187.1348,high,1.0,5
current_quarter_snap,835,177.904,386,177.92,downbeat,-16.0,16.0,977.6444,high,1.0,5
current_quarter_snap,837,178.387,387,178.39,downbeat,-3.0,3.0,53.4014,medium,0.66,3
current_quarter_snap,840,178.84,388,178.843,downbeat,-3.0,3.0,14.4209,low,0.33,1
current_quarter_snap,842,179.304,389,179.313,downbeat,-9.0,9.0,41.7629,medium,0.66,2
current_quarter_snap,845,180.233,391,180.236,downbeat,-3.0,3.0,65.9625,medium,0.66,4
current_quarter_snap,850,180.674,392,180.689,downbeat,-15.0,15.0,789.3652,high,1.0,5
current_quarter_snap,851,181.153,393,181.159,downbeat,-6.0,6.0,58.7981,medium,0.66,1
current_quarter_snap,854,181.597,394,181.612,downbeat,-15.0,15.0,18.2903,low,0.33,1
current_quarter_snap,856,182.074,395,182.082,downbeat,-8.0,8.0,88.8826,medium,0.66,2
